,సినిమా పేరు,దర్శకుడు,నటులు,శైలి,తేదీ,సంవత్సరం,నెల
3611,ఏమో గుర్రం ఎగరావచ్చు,చంద్ర సిద్ధార్థ,"సుమంత్, సవికా చైయాడిక్",హాస్యం,2014-01-25,2014,1
3612,గుండెపోటు,మొత్తం జగన్నాధ్,"నితిన్, అదః శర్మ",యాక్షన్/రొమాన్స్,2014-01-31,2014,1
3613,పాండవులు పాండవులు తుమ్మెద,శ్రీవాస్,"మోహన్ బాబు, మంచు విష్ణు, మంచు మనోజ్, రవీనా టాండన్, హన్సిక మోత్వానీ, ప్రణీత సుభాష్",యాక్షన్/రొమాన్స్,2014-01-31,2014,1
3614,మేడారం జాతర,శేషిధర్,సుమన్,నాటకం,2014-01-31,2014,1
3615,పైసా,కృష్ణ వంశి,"నాని, కేథరిన్ ట్రేస్, సిద్ధిక్ శర్మ, చరణ్‌రాజ్, ఇండియా: రెడ్డి, టాబోర్",శృంగారం / కామెడీ,2014-02-07,2014,2
3616,మల్లిగాడు మ్యారేజ్ బూరెలు,ఉదయ్ రాజ్,"శ్రీకాంత్, బ్రహ్మానందం, మనోచిత్ర",హాస్యం,2014-02-07,2014,2
3617,దిల్ దీవానా,తుమ్మ కిరణ్,"రాజ్ అరుణ్ రెడ్డి, రోహిత్ రెడ్డి, అభా సింఘాల్, నేహా దేశ్ పాండే",శృంగారం,2014-02-07,2014,2
3618,మీరు నేను,రామ్ అర్థం,"మనీష్, సిమ్రాన్, నిఖిల్ చక్రవతి, ఐశ్వరియ, ఎం. స్. నారాయణ, ధర్మవరపు సుబ్రహ్మణ్యం",శృంగారం,2014-02-14,2014,2
3619,లవ్ డాట్ కామ్,రాజా వన్నెం రెడ్డి,"ఆర్య సందీప్, నీతి టేలర్, ధర్మవరపు సుబ్రహ్మణ్యం",శృంగారం,2014-02-14,2014,2
3620,నా రాకుమారుడు,టి. నిజం,"నవీన్ చంద్ర, రీతూ వర్మ",శృంగారం,2014-02-21,2014,2
3621,అలీబాబా ఒక్కడే దొంగ,ఫణి ప్రకాష్,"అలీ, సుజా వారునీ, అల్లరి నరేష్ (వాయిస్-ఓవర్)",హాస్యం,2014-02-21,2014,2
3622,భీమవరం బుల్లోడు,ఉదయశంకర్,"సునీల్, ఎస్టర్ నోరోన్హా",రొమాంటిక్ కామెడీ,2014-02-28,2014,2
3623,బంగారు కోడిపెట్ట,రాజ్ పిప్పల,"నవదీప్, స్వాతి రెడ్డి, సంతోష్, రామ్",రొమాంటిక్ డ్రామా,2014-03-07,2014,3
3624,నువ్వే నా బంగారం,రామ్ వెంకయ్య,"సాయి కృష్ణ, షీనా శహబాది, నిషా కొఠారి, సుమన్",శృంగారం,2014-03-07,2014,3
3625,4 బ్యాచిలర్లను మాత్రమే అనుమతించండి,రమణ గెడ్డం,"కిరణ్, కళ్యాణ్, భరద్వాజ్, మధు, శిరీష, లతా, నరసింగ్",అడల్ట్ కామెడీ,2014-03-07,2014,3
3626,హ్యాంగ్ అప్ చేయండి,హైదర్ బిల్గ్రామి,"సుధాకర్ కొంకుల, నటాలీ రౌట్",శృంగారం,2014-03-14,2014,3
3630,రక్షకుడు,ఐరీన్ తాళ్లూరి,"నోయెల్ సంజిత్, సీయోను స్నేహ, జానీ లీవర్, సూర్య, రామ ప్రభ, గౌతమ్ రాజ్, మేల్కొటే",ఆధ్యాత్మికం / నాటకం / హాస్యం,2014-03-21,2014,3
3631,ఎదురు లేని అలెగ్జాండర్,రాజా రెడ్డి,"తార్కా జెమ్స్, కోమల్ ఝా, కుంకుమ్",యాక్షన్ - రొమాన్స్,2014-03-28,2014,3
3632,లెజెండ్,బోయపాటి శ్రీను,"నందమూరి బాలకృష్ణ, జగపతి బాబు, రాధికా ఆఫ్టే, సోనాల్ చౌహన్, కళ్యాణి",యాక్షన్/డ్రామా,2014-03-28,2014,3
3633,బాయ్ మీట్స్ గర్ల్ తొలిప్రేమ కథ,వసంత్ దయాకర్,"సిద్ధార్థ్, నికిత మరియు కనికా తివారీ",శృంగారం,2014-03-28,2014,3
3634,ప్రత్యేక తరగతి,K. R. ఆడవారు,"హరీష్, అనన్య ఠాకూర్, వైభవ్, అల్లరి సుభాషిణి",అడల్ట్ రొమాన్స్,2014-03-28,2014,3
3636,విచక్షణ,దీపక్ న్యాతి,"ధీరజ్, పద్మిని, నందీశ్వర్ గౌడ్, జయప్రద, జయలక్ష్మి, సురేందర్ గౌడ్, పద్మజయంతి, ముఖేష్, రిజ్వాన్, ధర్మేందర్",చర్య,2014-04-04,2014,4
3637,హార్ట్ ఆర్ట్,స్టీవెన్ శంకర్,"సంపూర్ణేష్ బాబు, ఇషిక సింగ్, కావ్య కుమారి",కామెడీ యాక్షన్,2014-04-04,2014,4
3638,రేస్ గుర్రం,సురేందర్ రెడ్డి,"అల్లు అర్జున్, శృతి హస్సన్, శామ్, రవి కిషన్, ప్రకాష్ రాజ్, ముకేష్ రిషి, బ్రహ్మానందం",చర్య,2014-04-11,2014,4
3639,లడ్డూ బాబు,లిఫ్ట్ తలుపు,"అల్లరి నరేష్, పూర్ణ, Bhumika Chawla, బ్రహ్మానందం, ఎం. స్. నారాయణ, అలీ",హాస్యం,2014-04-18,2014,4
3640,అవతారం,కోడి రామకృష్ణ,"రిచర్డ్ రిషీ, రాధిక కుమారస్వామి, భానుప్రియ",భక్తి / నాటకం,2014-04-18,2014,4
3641,సంఘటన,హర్డోగాతో తిరుగుబాటు,"ఛార్మ్య్ కౌర్, రేష్మ రాథోర్, రఘు బాబు, పోసాని కృష్ణ మురళి, కృష్ణ భగవాన్",యాక్షన్ / డ్రామా,2014-04-18,2014,4
3642,ప్రభంజనం,భాస్కర రావు వేండ్రాతి,"అజ్మల్ అమీర్, సందేశ్, ఆరుషి, పంచి బోరా, నిస్సార్, కోట శ్రీనివాస రావు",చర్య,2014-04-18,2014,4
3643,చందమామ కథలు,ప్రవీణ్ సత్తారు,"కృష్ణుడు, లక్ష్మి మంచు, చైతన్య, సాయికుమార్, నరేష్",సంకలనం,2014-04-25,2014,4
3644,ప్రతినిధి,ప్రశాంత్ మండవ,"నారా రోహిత్, శుబ్రా నియప్ప, శ్రీ విష్ణు, కోట శ్రీనివాస రావు, జయ ప్రకాశ్ రెడ్డి, పోసాని కృష్ణ మురళి, రవి ప్రకాష్",చర్య,2014-04-25,2014,4
3645,గలాటా,కృష్ణుడు,"శ్రీనివాస్, హరిప్రియ, సాయికుమార్, నాగేంద్రబాబు, అలీ",శృంగారం/కామెడీ,2014-04-25,2014,4
3646,అతను మేల్కొంటాడు,శేఖర్ కమ్ముల,"నయనతార, వైభవ్ రెడ్డి, పశుపతే",థ్రిల్లర్,2014-05-01,2014,5
3647,తెలుసుకొనుటకు,మారుతీ,"అల్లు శిరీష్, రెజినా కాసాండ్రా, పోసాని కృష్ణ మురళి, రావు రమేష్",శృంగారం / కామెడీ,2014-05-01,2014,5
3648,కార్డియోవాస్కులర్ (రే-విడుదల),స్టీవెన్ శంకర్,"సంపూర్ణేష్ బాబు, ఇషిక సింగ్, కావ్య కుమారి",కామెడీ యాక్షన్,2014-05-09,2014,5
3649,ఏప్రిల్ ఫూల్,కృష్ణస్వామి శ్రీకాంత్ అయ్యంగార్,"జగపతి బాబు, Bhoomika Chawla, గుల్షన్ గ్రోవర్, రణధీర్ రెడ్డి",కామెడీ ఫాంటసీ,2014-05-10,2014,5
3650,ప్రేమలో పడిపోయేను,రవి కుమార్ చావాలి,"ఆది, శాన్వి శ్రీవాస్తవ",శృంగారం,2014-05-10,2014,5
3651,అమృతం చందమామలో,గుణ్ణం గంగరాజు,"శ్రీనివాస్ అవసరాల, హరీష్, వాసు ఇంటూరి, శివన్నారాయణ, ధన్య బాలకృష్ణ, సుచిత్ర",హాస్యం,2014-05-17,2014,5
3652,మనం,విక్రమ్ కుమార్,"అక్కినేని నాగేశ్వర రావు, నాగార్జున, అక్కినేని నాగ చైతన్య, శ్రియా శరన్, సమంత",నాటకం,2014-05-23,2014,5
3653,గ్రీన్ సిగ్నల్,విజయ్ మధాలా,"రేవంత్, శిల్పి శర్మ",కాదు_నిర్దిష్ట,2014-05-30,2014,5
3654,ప్రేమ గీమా జనతా నై,సుబ్బు ర్. వ్.,"శ్రీరామ చంద్ర, మన్నారు చోప్రా, చలపతి రావు, భానుచందర్",శృంగారం,2014-05-31,2014,5
3655,కమలతో నా ప్రయాణం,నరసింహ నంది,"శివాజీ, అర్చన వేద శాస్త్రి",నాటకం,2014-06-01,2014,6
3656,ఉలవచారు బిర్యానీ,ప్రకాష్ రాజ్,"ప్రకాష్ రాజ్, స్నేహ, ఊర్వశి, సంయుక్త హొరనాడు","కామెడీ, డ్రామా",2014-06-06,2014,6
3657,వీడు చాలా వరస్ట్,వెంకట్ పంపన,"తారక్ రత్న, నందన్, నీరజ్, స్వప్న",సోషియో-ఫాంటసీ,2014-06-06,2014,6
3658,జంప్ జిలానీ,ఇ.సత్తి బాబు,"అల్లరి నరేష్, Isha Chawla, స్వాతి దీక్షిత్, పోసాని కృష్ణ మురళి, రఘు బాబు",హాస్యం,2014-06-13,2014,6
3659,జాబిల్లి కోసం ఆకాశమల్లే,రాజ్ నరేంద్ర,"శ్రీ హరి, అనూప్ తేజ్, స్మృతికా ఆచార్య",యాక్షన్ / రొమాన్స్,2014-06-13,2014,6
3660,ఊహలు గుసగుసలాడే,శ్రీనివాస్ అవసరాల,"నాగ శౌర్య, రాశి ఖన్నా",శృంగారం / నాటకం,2014-06-20,2014,6
3661,నేను ప్రేమించాను,ప్రదీప్ మాడుగుల్,"ప్రదీప్ ర్యాన్, ఈషా తల్వార్, మధుమిత",శృంగారం,2014-06-20,2014,6
3662,ఆటోనగర్ సూర్యుడు,వర్జిన్ కాత్య,"నాగ చైతన్య, సమంత రూత్ ప్రభు, సాయికుమార్",సాంఘిక నాటకం,2014-06-27,2014,6
3663,ఇంకా ఏమీ అనుకోలేదు,ఎస్.రే నుండి బాబ్,"రెహమాన్, దేశపతి, శ్రీరాజ్, అర్చన",శృంగారం,2014-06-27,2014,6
3664,రా రా... కృష్ణయ్య,శివుడు. సంగీత స్థాయి యొక్క ఐదవ గమనిక,"సుందీప్ కిషన్, జగపతి బాబు, రెజినా కాసాండ్రా, కళ్యాణి, తనికెళ్ళ భరణి",శృంగారం,2014-07-04,2014,7
3665,అయిదుగురు,అనిల్ గురుడు,"సిద్ధార్థ్ రాజ్, అస్మితా సూద్, వెంకట్, తనిష్క రెడ్డి, కృష్ణ తేజ్, పోసాని కృష్ణ మురళి, కోట శ్రీనివాసరావు, బాబు మోహన్",చర్య,2014-07-04,2014,7
3666,దృశ్యం,శ్రీప్రియ,"వెంకటేష్, మీనా, నదియా, నరేష్",యాక్షన్ / డ్రామా,2014-07-11,2014,7
3667,ఐస్ క్రీం,రాంగోపాల్ వర్మ,"నవదీప్, తేజస్వి మడివాడ",హారర్ / థ్రిల్లర్,2014-07-12,2014,7
3668,అల్లుడు శీను,వి.వి. వినాయక్,"బెల్లంకొండ శ్రీనివాస్, సమంత, ప్రకాష్ రాజ్, ప్రదీప్ రావత్, బ్రహ్మానందం",చర్య,2014-07-25,2014,7
3669,రన్ రాజా రన్,సుజీత్,"శర్వానంద్, సీరత్ కపూర్, అడివి శేష్, సంపత్ రాజ్, జయప్రకాష్",చర్య,2014-08-01,2014,8
3670,అడవి కాచిన వెన్నెల,అక్కి విశ్వనాధ రెడ్డి,"అరవింద్ కృష్ణ, మీనాక్షి దీక్షిత్, రిచర్డ్ రిషి, పూజా రామచంద్రన్",యాక్షన్ / డ్రామా,2014-08-01,2014,8
3671,మాయ,నీలకంఠ,"హర్షవర్ధన్ రాణే, అవంతిక, నాగబాబు",యాక్షన్ / థ్రిల్లర్,2014-08-01,2014,8
3672,గాల్లో తేలినట్టుండే,డి.వెంకట్ సురేష్,"వయస్సు, సోమరితనం",శృంగారం,2014-08-01,2014,8
3673,చాటింగ్,T.S.కమల్,"అభినయ కృష్ణ, సునీత",శృంగారం,2014-08-01,2014,8
3674,గ్లీపటం,నవీన్ గాంధీ,"ఆది, ఎరికా ఫెర్నాండెస్, క్రిస్టినా అఖీవా",శృంగారం,2014-08-08,2014,8
3675,నువ్వలా నేనిలా,త్రినాథరావు నవ్వాడు,"వరుణ్ సందేశ్, పూర్ణ",శృంగారం,2014-08-08,2014,8
3676,జన్మస్థలం,ఓం సాయి ప్రకాష్,"సాయి కుమార్, రూపిక, పావని",యాక్షన్ / థ్రిల్లర్,2014-08-08,2014,8
3677,గీతాంజలి,రాజ్ కిరణ్,"అంజలి, బ్రహ్మానందం, శ్రీనివాస రెడ్డి",హారర్ / కామెడీ,2014-08-09,2014,8
3678,ప్రేమికులు,హరినాథ్,"సుమంత్ అశ్విన్, నందిత",శృంగారం,2014-08-15,2014,8
3679,నీ జతగా నేనుండాలి,జయ రవీంద్ర,"షోయిన్ J గర్ల్స్, నజియా ఫుస్సా, లావో లేమ్ sh",శృంగారం,2014-08-22,2014,8
3680,కిరాక్,హరిక్ దేవభక్తని,"అనిరుధ్, చాందిని తమిళరసన్",శృంగారం,2014-08-22,2014,8
3681,రభస,సంతోష్ శ్రీనివాస్,"జేరి. ఎన్టీఆర్, సమంత రూత్ ప్రభు, ప్రణీత సుభాష్, బ్రహ్మానందం, షాయాజీ షిండే",యాక్షన్ / డ్రామా,2014-08-29,2014,8
3682,బూచమ్మ బూచోడు,రేవన్ యాదు,"శివాజీ, కైనాజ్ మోతివాలా, బ్రహ్మానందం, పోసాని కృష్ణ మురళి",సస్పెన్స్ థ్రిల్లర్,2014-09-05,2014,9
3683,గణపతి బప్పా మోరియా,రాము కుమార్ ASK,"శ్రీనాధ్, రాజశేఖర్, మల్లేష్, రితీష్",నాటకం,2014-09-05,2014,9
3685,శక్తి,a. s రవీంద్ర,"రవి తేజ, హన్సిక, రెజినా కాసాండ్రా, బ్రహ్మానందం, ప్రకాష్ రాజ్, ముకేష్ రిషి, సంపత్ రాజ్, అజయ్, సుబ్బరాజు, హరీష్ ఉత్తమం",యాక్షన్ / డ్రామా,2014-09-12,2014,9
3686,బాయ్ ఫ్రెండ్ లేని అమ్మాయి ఉండ,శివుడు నవ్వాడు,"భవాని అగర్వాల్, మెగా సుప్రీమ్, కాంచన మైత్రి",నాటకం,2014-09-12,2014,9
3687,అనుక్షణం,రాంగోపాల్ వర్మ,"విష్ణు మంచు, నవదీప్, తేజస్వి మడివాడ, మధు శాలిని, రేవతి",థ్రిల్లర్,2014-09-13,2014,9
3688,ఆగడు,శ్రీను వైట్ల,"మహేష్ బాబు, తామన్నాహ్, సోను సూద్, రాజేంద్ర ప్రసాద్, ఆశిష్ విద్యార్ధి, నిస్సార్, బ్రహ్మానందం",యాక్షన్ / డ్రామా,2014-09-19,2014,9
3689,చెయ్యవలసిన,శ్రీవాస్,"గోపీచంద్, రకుల్ ప్రీత్ సింగ్, బ్రహ్మానందం, ముఖేష్ రిషి, రాహుల్ దేవ్, సంపత్ రాజ్",చర్య,2014-09-26,2014,9
3690,గోవిందుడు అందరివాడేలే,కృష్ణ వంశి,"రామ్ చరణ్, కాజల్ అగర్వాల్, శ్రీకాంత్, ప్రకాష్ రాజ్",నాటకం,2014-10-01,2014,10
3691,రోమియో,గోపి గణేష్,"సాయిరామ్ శంకర్, అడోనికా, రవితేజ",శృంగారం,2014-10-10,2014,10
3692,పాఠశాలా,మహి వి. రాఘవ్,"నందు, అనుక్, ప్రియ, శిరీష, సాయి కిరణ్, శివ, శశాంక్",థ్రిల్లర్,2014-10-10,2014,10
3693,దిక్కులు చూడకు రామయ్య,వెంట్రుకలు,"నాగ శౌర్య, సనా మక్బుల్, అజయ్, ఇంద్రజ",శృంగారం,2014-10-10,2014,10
3694,ఒక లైలా కోసం,విజయ్ కుమార్ కొండా,"నాగ చైతన్య, పూజా హెగ్డే",శృంగారం,2014-10-17,2014,10
3695,కార్తికేయ,చందూ మొండేటి,"నిఖిల్ సిద్ధార్థ్, స్వాతి రెడ్డి, తనికెళ్ళ భరణి, రావు రమేష్, కిశోరె, జయప్రకాశ్",మిస్టరీ - థ్రిల్లర్,2014-10-24,2014,10
3696,కరెంటు తీగ,నాగేశ్వర రెడ్డి,"మంచు మనోజ్, రకుల్ ప్రీత్ సింగ్, జగపతి బాబు",రొమాంటిక్ కామెడీ,2014-10-31,2014,10
3697,జాహింద్ 2,అర్జున్ సిరీస్,"అర్జున్ సర్జా, సిమ్రాన్ కపూర్, సుర్వీన్ చావ్లా, రాహుల్ దేవ్",చర్య,2014-11-07,2014,11
3698,బొమ్మాళి సోదరుడు,బి. చిన్ని కృష్ణ,"అల్లరి నరేష్, కార్తీక నాయర్",కామెడీ / డ్రామా,2014-11-07,2014,11
3699,జోరు,కుమార్ నాగేంద్ర,"సందీప్ కిషన్, రాశి ఖన్నా, ప్రియా బెనర్జీ, బ్రహ్మానందం, సాయాజీ షిండే",యాక్షన్ / డ్రామా,2014-11-07,2014,11
3700,సలహాదారు,మధు మహంకాళి,"నరేష్, ఆమని, రావి కొండల రావు",ఫ్యామిలీ డ్రామా,2014-11-07,2014,11
3701,బటన్,శంకర్ మార్తాండ్,"నవదీప్, మధు శాలిని",భయానక,2014-11-09,2014,11
3702,బస్సు మిస్,దాసరి నారాయణరావు,"మంచు విష్ణు, కాథరిన్ ట్రెసా, బ్రహ్మానందం, దాసరి నారాయణ రావు",రొమాంటిక్ డ్రామా,2014-11-14,2014,11
3703,పిల్లా నువ్వు లేని జీవితం,ఆ. స్. రవి కుమార్ చౌదరి,"సాయి ధరమ్ తేజ్, రెజినా కాసాండ్రా, జగపతి బాబు, ప్రకాష్ రాజ్, షాయాజీ షిండే",యాక్షన్ డ్రామా,2014-11-14,2014,11
3704,ఆత్రేయ,శాంతికుమార్ చిలుముల,"ఆదిత్య, అనూహ్య, శ్రీ రాజ్, జీవ, మీనాక్షి",పిల్లలు,2014-11-14,2014,11
3705,ఐస్ క్రీమ్ 2,రాంగోపాల్ వర్మ,"జ్. డ్. చక్రవర్తి, నవీన, తనికెళ్ళ భరణి, జీవ",థ్రిల్లర్,2014-11-21,2014,11
3706,రౌడీ ఫెలో,కృష్ణ చైతన్య,"నారా రోహిత్, విశాఖ సింగ్, నందిని రాయ్, రావు రమేష్",యాక్షన్ / డ్రామా,2014-11-21,2014,11
3707,నా బంగారు తల్లి,కుదుపు షివర్,"సిద్దికే, అంజలి పాటిల్, లక్ష్మీ మీనన్, రత్న శేఖర్ రెడ్డి",నాటకం,2014-11-21,2014,11
3708,౩౩ ప్రేమ కథలు,శివ గణేష్,"వివేక్, సునీత మరసియార్, శ్రావణి",శృంగారం,2014-11-21,2014,11
3709,యమలీల ౨,S. V. కృష్ణా రెడ్డి,"డా.కె.వి.సతీష్, దియా నికోలస్, సాధా, మోహన్ బాబు, బ్రహ్మానందం, నిషా కొఠారి, సాయాజీ షిండే, అలీ, ఆశిష్ విద్యార్థి",ఫాంటసీ డ్రామా,2014-11-28,2014,11
3710,కఠినమైన,C. H. సుబ్బారెడ్డి,"ఆది, రకుల్ ప్రీత్ సింగ్, శ్రీహరి, రఘు బాబు",రొమాన్స్ యాక్షన్,2014-11-28,2014,11
3711,కాదు,అనీష్ కృష్ణ,"రాహుల్ రవీంద్రన్, భాను శ్రీ మెహ్రా, వెన్నెల కిషోర్, షాని సల్మాన్, ఖుషి, హీబాహ్ పటేల్",హాస్యం,2014-11-28,2014,11
3712,శ్రీ వాసవి కన్యకా పరమేశ్వరి చరిత్ర,శ్రీపాద రామచంద్ర రావు,"సుమన్, రమ్యకృష్ణ",పౌరాణిక,2014-11-28,2014,11
3713,చక్కిలిగింత,వేమా రెడ్డి,"సుమంత్ అశ్విన్, రెహానా",శృంగారం,2014-12-05,2014,12
3714,లక్ష్మీ రావే మా ఇంటికి,నంద్యాల రవి,"నాగ శౌర్య, అవికా గోర్",శృంగారం,2014-12-05,2014,12
3715,ముగింపు,రాహుల్ సంకృత్యాన్,"యువ చంద్రా, సుధీర్ రెడ్డి, గజల్ సోమయ్య, పావని రెడ్డి",భయానక,2014-12-05,2014,12
3716,ఉందిలే మంచి కాలం ముందు ముందురా,అరుణ్ దాస్యం,"సుధాకర్ కొంకుల, అవంతిక మోహన్",నాటకం,2014-12-05,2014,12
3717,హూసినోడికి హూసినంద,అనిల్ వటుపల్లి,"శివాజీ, నాగేంద్ర బాబు, లెస్లీ త్రిపాఠి",కాదు_నిర్దిష్ట,2014-12-12,2014,12
3718,ఈ వర్షం సాక్షిగా,రమణ గుట్టలు,"వరుణ్ సందేశ్, హరిప్రియ",శృంగారం,2014-12-13,2014,12
3719,సాహెబా సుబ్రమణ్యం,నారాయణ విషయానికి వస్తే,"దిలీప్ కుమార్, ప్రియాంక గోర్, రావు రమేష్",శృంగారం,2014-12-13,2014,12
3720,పంచభూతాలు సాక్షిగా,కాళీచరణ్ రూపొందించారు,"కలిచారం, మనశ్విని, చిత్రం శ్రీను, బిందు",భయానక,2014-12-19,2014,12
3721,ఓ మనిషి కథ,రాధా స్వామి ఆవుల,"జగపతి బాబు, కళ్యాణి",నాటకం,2014-12-19,2014,12
3722,ప్రేమిస్తున్నాను,శ్రీకాంత్ అడ్డాల,"వరుణ్ తేజ్, పూజా హెగ్డే, ప్రకాష్ రాజ్",నాటకం,2014-12-24,2014,12
3723,చిన్నదాన నీ కోసం,a. కరణకరణ్,"నితిన్, మిష్టి, నిస్సార్, నరేష్, సితార, అలీ",శృంగారం,2014-12-25,2014,12
3724,ఆ శ్యామ్ గోపాల్ వర్మ ఫిలిం,రాకేష్ శ్రీనివాస్,"షఫీ, జియా ఖాన్, ఎల్. బి. శ్రీరామ్, జయ బరాకిష్, దయచేసి",వ్యంగ్య కామెడీ,2015-01-01,2015,1
3725,కుర్ర కోసం మన,వీర శంకర్,"అరవింద్ కృష్ణ, రచన మల్హోత్రా, కృష్ణుడు, రూప కౌర్",నాటకం,2015-01-01,2015,1
3727,గోపాల గోపాల,కిషోర్ కుమార్,"వెంకటేష్, పవన్ కళ్యాణ్, శ్రియ శరణ్, మిథున్ చక్రవర్తి",వ్యంగ్య కామెడీ,2015-01-09,2015,1
3728,పైకి,అనిల్ రావిపూడి,"నందమూరి కళ్యాణ్ రామ్, శృతి సోది, సాయి కుమార్, అశుతోష్ రానా",చర్య,2015-01-23,2015,1
3729,బీరువా,కనుగుడ్డు,"సందీప్ కిషన్, సురభి",శృంగారం/కామెడీ,2015-01-23,2015,1
3730,ఇంటెలిజెంట్ ఇడియట్స్,బాలాజీ సనాలా,"పోసాని కృష్ణ మురళి, విక్రమ్ శేఖర్, ప్రభాజీత్ కౌర్, సప్తగిరి",క్రైమ్ కామెడీ,2015-01-23,2015,1
3731,టాప్ ర్యాంకర్లు,గోళ్లపాటి నాగేశ్వర రావు,"రాజేంద్ర ప్రసాద్, సోని చరిష్ట",నాటకం,2015-01-30,2015,1
3732,లేడీస్ & జెంటిల్‌మన్,పి బి మంజునాథ్,"అడివి శేష్, చైతన్య కృష్ణ, కమల్ కామరాజు, నిఖితా నారాయణ్",శృంగారం/సంకలనం,2015-01-30,2015,1
3733,మంచి అలవాట్లు,రావు మాత్రమే,"అజయ్, అపర్ణ బాజ్‌పాయ్",నాటకం,2015-02-03,2015,2
3734,దొరకదు,వరప్రసాద్,"శివాజీ, గాయత్రి అయ్యర్, సుమన్, అజయ్, బాబు మోహన్",నాటకం,2015-02-06,2015,2
3735,గడ్డం గ్యాంగ్,సంతోష్ పి. జయకుమార్,"రాజశేఖర్, షీనా శహబాది, నరేష్, సీత",డ్రామా / కామెడీ,2015-02-06,2015,2
3736,మళ్ళి మళ్ళి ఇది రాని రోజు,క్రాంతి మాధవ్,"శర్వానంద్, నిత్యా మీనన్, తేజస్వి మడివాడ, నాజర్, పవిత్ర లోకేష్",శృంగారం / నాటకం,2015-02-06,2015,2
3737,మూడు ముక్కల్లో చెప్పాలంటే,మధుమిత,"రాకేందు మౌళి, అదితి చెంగప్ప, వెంకటేష్ హరినాథన్",శృంగారం / కామెడీ,2015-02-06,2015,2
3738,పెసరట్టు,మహేష్ కత్తి,"నందు, నిఖితా నారాయణ్, సంపూర్ణేష్ బాబు",శృంగారం,2015-02-06,2015,2
3739,కోపము,మొత్తం జగన్నాధ్,"సంఖ్య టి. రామ్ రావ్ జూనియర్, కాజల్ అగర్వాల్, ప్రకాష్ రాజ్",చర్య,2015-02-13,2015,2
3740,పడ్డానండి ప్రేమలో మరి,మహేష్ ఉప్పుటూరి,"వరుణ్ సందేశ్, వితిక షేరు",చర్య,2015-02-14,2015,2
3742,నువ్వు నేను ఒకటవుదాం,పి. నరసింహా రెడ్డి,"రంజిత్ స్వామి, సన, అలీ, జై ప్రకాష్ రెడ్డి",శృంగారం,2015-02-20,2015,2
3743,గాయకుడూ,లోటస్. జి,"అలీ రెజా, శ్రియా శర్మ, సంతోష్ పవన్, M S నారాయణ, సప్త గిరి",శృంగారం,2015-02-20,2015,2
3744,bh బోలేనాథ్,కార్తీక్ వర్మ దండు,"నవదీప్, నవీన్ చంద్ర, పూజ ఝవేరి",నాటకం,2015-02-27,2015,2
3745,రామ్ లీలా,పిలుపు,"హవీష్, అభిజీత్, నందిత రాజ్",రొమాంటిక్ ఎంటర్‌టైనర్,2015-02-27,2015,2
3746,సూర్య vs సూర్య,కార్తీక్ ఘట్టమనేని,"నిఖిల్ సిద్ధార్థ్, తనికెళ్ళ భరణి, త్రిధా చౌదరి",శృంగారం,2015-03-05,2015,3
3747,నాకైతే నచ్చింది,త్రినాధ కోసూరు,"శ్రీ బాలాజీ, సోని చరిస్తా, రిషిక జైరాత్, కృష్ణ",శృంగారం,2015-03-06,2015,3
3748,ఆనందం మళ్లీ మొదలైంది,ఆకాష్,"జై ఆకాష్, జియా ఖాన్, అలేఖ్య, తాగుబోతు రమేష్",శృంగారం,2015-03-06,2015,3
3749,టామీ,రాజా వన్నెంరెడ్డి,"రాజేంద్రప్రసాద్, సీత, దీపక్, ముంతాజ్, సురేష్, రఘుబాబు",నాటకం,2015-03-13,2015,3
3750,తప్పటడుగు,శ్రీ అరుణ్,"సూర్య తేజ, నవీనా జాక్సన్, లక్ష్మణ్, సురభి",శృంగారం,2015-03-13,2015,3
3751,కాలింగ్ బెల్,దానిని రాయల్ చేయండి,"రవి వర్మ, మమత రాహుత్, వ్రితి ఖన్నా, కిశోరె, జీవ, చంటి, శంకర్, వేణు",హారర్ - థ్రిల్లర్,2015-03-20,2015,3
3752,తుంగభద్ర,శ్రీనివాస్ గోగినేని,"ఆదిత్ అరుణ్, దింపులే చోపడే",శృంగారం,2015-03-20,2015,3
3753,ఎవడే సుబ్రహ్మణ్యం,అశ్విన్,"నాని, విజయ్ దేవేరుకోండ, మాళవిక నాయర్, రీతూ వర్మ",సాహసం,2015-03-20,2015,3
3754,పై కపిరాజు వితంతువు,అతని మీద పోయవద్దు,"నాని, అమలా పాల్, రాగిణి ద్వివేది, తనికెళ్ళ భరణి",యాక్షన్-థ్రిల్లర్,2015-03-20,2015,3
3755,రేయ్,వైవీఎస్ చౌదరి,"సాయి ధరమ్ తేజ్, సైయామి ఖేర్, శ్రద్ధ దాస్, తనికెళ్ళ భరణి",సంగీతపరమైన,2015-03-27,2015,3
3756,జిల్,రాధా కృష్ణ,"గోపీచంద్, రాశి ఖన్నా, కబీర్ దుహన్ సింగ్, హరీష్ ఉత్తమం",చర్య,2015-03-27,2015,3
3757,అవును ౨,లిఫ్ట్ తలుపు,"హర్షవర్ధన్ రాణే, పూర్ణ, రవి బాబు, సంజ్ఙానా, నికిత తుక్రల్",థ్రిల్లర్,2015-04-03,2015,4
