Title,Director,Production,Music Composer,Cast,Genre,Release Date,Year
Swayamvaram,"
","
",,,,"
",1982
Telugunadu,"
","
",,,,"
",1982
Talli Kodukula Anubandham,"K. S. R. Das
","
",,"Krishnam Raju, Sridevi",,"
",1982
Tharangini,"Kodi Ramakrishna
","Prathap Art Productions
","J. V. Raghavulu
","Suman, Tharangini, Bhanuchandar, Gollapudi, P.L. Narayana, Purnima,
",,"
",1982
Tingu Rangadu,T. L. V. Prasad,"Anil Productions
","Chakravathi
",Chiranjeevi,,"1 October 1982
",1982
Trisulam,"K. Raghavendra Rao
","
",,"Krishnam Raju, Sridevi",drama,"
",1982
Vamsha Gowravam,"
","
",,,,"
",1982
Vasantha Kokila,Balu Mahendra,"Vigneswara Art Creations
",Ilaiyaraaja,"Kamal Haasan, Sridevi
","
","14 October 1982
",1982
Vayyari Bhamalu Vagalamari Bhartalu,Katta Subba Rao,"G.R.P. Art Pictures
",Rajan–Nagendra,N. T. Rama Rao,,"
",1982
Vijaya Bheri,"Vijay (Vijay Reddy)
","Ganapathi Enterprises
","
","Rajkumar, Jaya Prada, Jayachitra, etc.
","
","23 January 1982
",1982
Viplava Shankam,"
","
",,,,"
",1982
Yama Kinkarudu,"Raj Bharat
","Gita Creative Arts
","Chandrasekar
","Chiranjeevi, ","Action/Crime/Disco
","22 October 1982
",1982
Yuvraj,"Dasari Narayana Rao
","
",,"Akkineni Nageswara Rao, Jayasudha, Sujatha",,"
",1982
Aalaya Sikharam,Kodi Ramakrishna,Sri Lalitha Movies,Chakravarthy,Chiranjeevi,"PG(UA)
","7 May 1983
",1983
Adavalle Aligithe,"Satyanarayana Vejella
","Vijayachitra Pictures
",Krishna - Chakra,Rajendra Prasad,"UComedy
","3 December 1983
",1983
Abhilasha,A. Kodandarami Reddy,,Ilaiyaraaja,Chiranjeevi,(A),"11 March 1983
",1983
Adadhi Aata Bommaa!,"R. K. Battula (Story/Direction)
","R. K. Battula Productions
","Gopalakrishna
","Sekthi, Sony, Saikiran, S.S. Reddy, Raviraj, R. M. Joshi, Prabhakar, Umarani, Chitralekha, Jyothikiran, A. Radhakrishna, Sodala Prabhakar, Narasimha Reddy
","(A)
","??.??.1983
",1983
Adavi Simhalu,K. Raghavendra Rao,"Vaijayanthi Movies
","Chakravarthy
",Krishnam Raju,"Scope U
","28 April 1983
",1983
Agni Jwala,"Boyina Subba Rao, Tripuraneni Varaprasad
","G.V.K. Combines
","Satyam
",Mohan Babu,"
","14 July 1983
",1983
Agni Samadhi,K. S. R. Das,"Makkal Thilagam Pictures
","Satyam
","Naresh, Kaikala Satyanarayana, Jaggaiah, Rao Gopala Rao,
","(A)
","21 October 1983
",1983
Akka Mogudu Chelleli Kapuram,"Katta Subba Rao
","Sowmya International
","Chakravathy
","Chandra Mohan, Prabha, Kavitha, Ramji,
","(A)
","14 January 1983
",1983
Amarajeevi,Jandhyala,"Jyothi Art Creations
",Chakravarthy,Akkineni Nageswara Rao,,"19 August 1983
",1983
Amayakudu Kadhu Asadhyudu,"Vijaya Nirmala
","Sesirekha Movies
","Satyam
","Krishna Gattamaneni, Jayasudha, Anjali Devi,
","
","30 June 1983
",1983
Amayaka Chakravarthy,"Janardhan
","Lalini Chitra
","Krishna & Chakra
","Chandra Mohan, Vijaya Santhi, ","(A)
","25 March 1983
",1983
Andhra Kesari,"Thirumalai, Vijayachander
","Radha Chitra Combines
","Satyam
",Vijaya Chandher,"(U) CBFC
","20 May 1983
",1983
Antham Chusina Adadhi,"
","J. W. International
","
","
","(A) CBFC
","10 June 1983
",1983
Apadhbandhavulu,"
","Sri Aparna Movies
","
","
","(U) CBFC
","NR
",1983
Bahudoorapu Batasari,"Dasari Narayana Rao
","Tharaka Prabhu Films
",Ramesh Naidu,Akkineni Nageswara Rao,(U),"19 May 1983
",1983
Balidaanam,S. A. Chandrasekhar,"Santhosh Art Movies
",Chakravarthy,Shoban Babu,"(A)
","1 January 1983
",1983
Bandhipotu Rudramma,"K. S. Reddy
","
","Satyam
","Kavitha, Vijaya Lalitha, Narasimha Raju, Jeeva
","(A)
","9 April 1983
",1983
Bezawada Bebbuli,Vijaya Nirmala,Sri Vijaya Rama Pictures,Chakravarthy,Sivaji Ganesan,,"14 January 1983
",1983
Bhairava Kona,"This needs further verification
","Sri Sai Datta Films
","
","
","(A) CBFC
","??.??.1983
",1983
Bhama Rukmini,"R. Bhaskaran
","S.V.S Creations
","M. S. Viswanathan
","K. Bhagyaraj, Raadhika, Praveena, Nagesh
","(U) CBFC
","15 October 1983
",1983
Bharathamma Muddu Biddalu,"Veera
","Fabina Art Creations
","K. S. Murthy
","
","CBFC not found
","??.??.1983
",1983
Bharya Bharthala Sawal,"Chandrashekar Reddy
","Padmaja Kalamadhir
","Raj-Koti
","Mohan Babu, Sumalatha, Rao Gopala Rao, Aruna, Rajesh, Nutan Prasad, Syamala Gowri
","
","7 October 1983
",1983
C I D Simham,"Joe Simon
","Dinesh Arts
","Satyam
","Vishnuvardha, Kajal Kiran,
","(A) CBFC
","??.??.1983
",1983
Challenge Vetagallu,S. V. Rajendra Singh,"Sri Vigneswara Cine Art Creations
",Ilayaraja,"Ambareesh, Shankar Nag, Jayamala, Swapna, M. P. Shankar
","
","23 June 1983
",1983
Chanda Sasanudu,"N. T. Rama Rao
",,,N. T. Rama Rao,,"28 May 1983
",1983
Chandi Chamundi,"K. S. Reddy
","Surekha Pictures
","Satyam
","Kavitha, Vijaya Lalitha, Nutan Prasad, Sakshi Rangarao, Jeeva, Bindu Ghosh
","
","16 December 1983
",1983
Chandi Rani,"P. Chandrasekhara Reddy
","Sri Vani Arts
","Raj-Koti
","Suman, Kavitha, Syamala Gowri, Gollapudi, Jayamala, Radha Kumari
","(A)
","11 November 1983
",1983
Chattam,K. Vijayan,"Suresh Arts
",Gangai Amaran,Kamal Haasan,"
","4 November 1983
",1983
Chattaniki Sawal,M. Karnan,"G. C. Arts
","Shankar Ganesh, Ramakrishna Raja
",Suman,"
","16 December 1983
",1983
Chattaniki Veyi Kallu,"Vijaya Nirmala
","Ranjit Arts
","Chakravarthy
","Krishna Gattamaneni (Dual Role), Jaya
","
","31 March 1983
",1983
Chilaka Josyam,"M. Pardha Saradhi
","Aadi Sekti Chitra
","
","
","
","21 April 1983
",1983
Darling Darling Darling,"K. Bhagyaraj
","Amaravathy Arts
",Sankar Ganesh,K. Bhagyaraj,"(U) CBFC
","14 May 1983
",1983
Debbaku Debba,"S. P. Mutturaman
","J.K Films
",Ilaiyaraaja,Rajinikanth,"(U)
","13 May 1983
",1983
Desanikokkadu,"C. V. Rajendran
","Ajai Art Creations
",Ilaiyaraaja,Rajinikanth,"(U) CBFC
","12 August 1983
",1983
Devi Kanaykumari,P. Subramanyam,"Sabari Art Pictures
","Devarajan
",Baby Vinodini,"Devotional
","21 May 1983
",1983
Devi Moogambika,"K. Shankar
","Vijaya Adhitya Creations
",Ilaiyaraaja,K. R. Vijaya,"Devotional
","20 May 1983
",1983
Devi Sridevi,"Raja Chandra
","Jayabheri Art Productions
","Chakravarthy
","Jayasudha, Raadhika, Murali Mohan, Giri Babu, Gummadi, Tulasi, Dr. M. Prabhakar Reddy, Prabha, Rajesh
","
","7 October 1983
",1983
Dharma Poratam,"Boyina Subba Rao
","Sri Lakshmi Prasanna Pictures
","Satyam
","Mohan Babu, Gummadi Venkateswara Rao,
","(A)
","4 February 1983
",1983
Dharmaatmudu,"B. Bhaskara Rao
","Sri Bramarambika Films
","Satyam
","Krishnam Raju, Jayasudh-a, Vijaya Santhi, Gummadi
","(U)
","16 September 1983
",1983
Digivachina Devudu,K.S.L. Swamy,"Katyayani Creations
",G. K. Venkatesh,Lokesh,"PG
","9 September 1983
",1983
Doctor Gari Kodalu,Muktha Srinivasan,"
","
",Sivaji Ganesan,"
","18 February 1983
",1983
Durga Devi,"Nandam Harischandra Rao
","Vijaya Madhavee Pictures
","J. V. Raghavulu
","Mohan Babu, Murali Mohan, Jayasudha, Sarada, Geetha
","
","8 July 1983
",1983
Ee Desamlo Oka Roju,"Satyanarayana Vejella
","Kumar Raja Pictures
",Chakravarthy,"Rajendra Prasad, Kavitha, Sai Chand, Gummadi,  Siva Krishna, Nutan Prasad, Jyothi, Geetha, etc
","(A)
","10 March 1983
",1983
Ee Pillaku Pellavuthunda,"Vejella Satyanarayana
","Sri Bala Balaji Combines
","Chakravarthy
","Gummadi, Sai Chand, Jyothi, Purnima, Syamala Gowri, Tulasi, Nutan Prasad
","
","26 August 1983
",1983
Eeswarudu Seneswarudu,B. R. Panthulu,"Dasanjaneya Pictures
",M. S. Viswanathan,Gemini Ganesan,"
","4 February 1983
",1983
Gaanam,Sreekumaran Thampi,"Sarada Movie Creations
","Susarla & Upendra Kumar
",Jagathy Sreekumar,"
","15 December 1983
",1983
Gaju Bommalu,"Koneru Ravindranath
","Natanalaya Combines
","Ramesh Naidu
","Sarath Babu, Rama Prab-ha,
","(A) CBFC
","11 February 1983
",1983
Grahanam Vidichindi,"Bose
","Kalyana Chakravarthi Films
","Ramesh Naidu
","Murali Mohan, Kavitha, Nutan Prasad, Sakshi
","
","22 July 1983
",1983
Gudachari No.1,Kodi Ramakrishna,"Vijaya Lakshmi Art Pictures
",Chakravarthy,Chiranjeevi,,"30 June 1983
",1983
Iddaru Kiladeelu,"Relangi Narasimha Rao
","Charitha Chitra
","Joy
","Suman, Bhanuchandar,  Jaya Sudha, Aruna, Sad-hana, Ramana Murthy, Nutan Prasad, ","(A) CBFC
","3 June 1983
",1983
Idhi Kadhu Mugimpu,"Satyanarayana Vejella
","Ureka Cine Enterprises
","Sivajiraja
","Rajendra Prasad, Geetha, Jyothi, Kaikala
","
","18 February 1983
",1983
Ikanaina Marandi,"Gangadhar
","Easwari Art Pictures
","Satyam
","Murali Mohan, Jyothi, Gummadi, Allu Rama Lingaiah, Rallapalli, Sakshi Ranga Rao, Ravi Kondala Rao, Vallam Narasimha Rao, Manorama, Attili Lakshmi, Kakinada Syamala, Padma
","(A) CBFC
","7 May 1983
",1983
Intalludu,"
","
","
","
","CBFC not found
","??.??.1983
",1983
Kasi Yatra,"
","Santhoshi Productions
","
","
","(U) CBFC
","??.??.1983
",1983
Kaksha Sadistha,"
","
","
","
","
","18 June 1983
",1983
Kala Yamudu,"Nandham Harischandra Rao
","Sree Pallavi Films
","J. V. Raghavulu
","Mohan Babu, Sree Pallavi, Sarada, Jayamalini, Dr. M. Prabhakar Reddy, Giri Babu, etc
","
","13 October 1983
",1983
Kaliyuga Dhaivam,"M. R. Raju
","Sri Raghavendra Art Creations
","Satyam
","Rama Krishna, Latha, Sarada, Sarath Babu, Kavitha, Allu Rama Lingaiah, Rama Prabha, Jeeva, Pandari Bai
","
","25 August 1983
",1983
Kalyana Veena,"Giridhar
","Mallemala Creations
","Satyam
","Suman, Aruna,
","
","17 September 1983
",1983
Kanne Donga,"Kalanilayam Krishna Kumar
","Almighty Films
",Ilaiyaraaja,Kamal Haasan,"(U) CBFC 16 March 1983
","3 June 1983
",1983
Kanthaiyya Kanakaiyya,"
","
","
","
","
","9 July 1983
",1983
Keerthi Kantha Kanakam,"
","
","
","
","
","9 April 1983
",1983
Khaidi,A. Kodandarami Reddy,,Chakravarthy,Chiranjeevi,,"28 October 1983
",1983
Kirayi Bommalu,"Katikaneni Madhusudhana Rao
","Mayur Enterprises
","Pendyala
","Jayanthi, Prabha, Geetha, Suresh, Ramakrishna, Rallapalli, Jeeva, Pandari Bai, ","CBFC not found (NR)
","??.??.1983
",1983
Kirayi Kotigadu,A. Kodandarami Reddy,"Ramprasad Art Pictures
",Chakravarthy,Krishna Ghattamaneni,,"17 March 1983
",1983
Kirayi Rangadu,"R. Thyagarajan
","Ramana Art Films
","Shankar Ganesh & A. A. Raj
",Rajinikanth,"
","9 July 1983
",1983
Kodalu Kaavaali,"Giridhar
","Gowri Art Creations
","Satyam
","Suman, Purnima, Nutan Prasad, Rupa Chakravarthy, Tyagaraju, Niramala,
","(U) CBFC
","10 March 1983
",1983
Kokilamma,K. Balachander,Lakshmijyothii Films,M. S. Viswanathan,Saritha,"
","7 May 1983
",1983
Konte Kodallu,"Kommineni
","PVS Films
","Chakravarthi
","Suryakantam, Gollapudi, Sudhakar, Bhanuchandar, Poornima, Tulasi
","
","9 December 1983
",1983
Koti Kokkadu,Kommineni Seshagiri Rao,"Radha Krishna Movies
",Rajan-Nagendra,Krishnam Raju,"(U) CBFC 5 August 1983
","11 August 1983
",1983
Kunkuma Tilakam,"B. Bhaskara Rao
","Sri Vigneswara Art Pictures
","Satyam
","Murali Mohan, Jaya Sudha, Hema Sundar, Suresh Oberoi, Ravi Kondala Rao, Pushpalatha, Suresh
","(U) CBFC
","28 January 1983
",1983
Lanke Bindelu,Vijaya Nirmala,"Ranjit Creations
",Rajan-Nagendra,Krishna Ghattamaneni,(U),"10 November 1983
",1983
M.L.A. Yedukondalu,"Dasari Narayana Rao
","
","Chakravarthy
","Dasari Narayana Rao, Jaya Sudha,  Sujatha,
","
","9 January 1983
",1983
Maa Intaina Katha,"K. Phanindra
","Gopi Krishna Movie Creations
","Rajan-Nagendra
","Chandra Mohan, Sulakshana, Padmanabham,
","(A)
","4 March 1983
",1983
Maa Inti Premayanam,"Aluri Ravi
","Chandramani Productions
",J. V. Raghavulu,Chandra Mohan,,"11 August 1983
",1983
Maa Intiki Randi,"Kodi Ramakrishna
","Lalitha Kalanjali's
","J. V. Raghavulu
","Kodi Ramakrishna, Suhasin, Banuchandar, Aruna, Gollapudi, Rupa
","
","
",1983
Maga Maharaju,Vijaya Bapineedu,,Chakravarthy,Chiranjeevi,,"
",1983
Magallako Namaskaram,"
","
","
","
","
","
",1983
Maharani,"K. S. Gopalakrishnan
","Sivachitra Movies
","Shankar Ganesh
","Jayachitra, Jai Ganesh, Vijaykumar, Satyaraj
","
","11 November 1983
",1983
Manavulara Manninchandi,"
","
","
","
","
","
",1983
Manishiki Maro Peru,Tatineni Prasad,"Sri Ranga Sai Pictures
",K. V. Mahadevan,Chandra Mohan,,"9 December 1983
",1983
Manishiko Chartira,"Tatineni Prasad
","Bhargava Art Productions
","Chakravarthy
","Murali Mohan, Chandra Mohan, Poornima, Prabha, Suhasini, Gollapudi, Annapoorna, etc.
","
","7 January 1983
",1983
Mantri Gari Viyyankudu,Bapu,,Ilaiyaraaja,Chiranjeevi,,"
",1983
Maro Maya Bazaar,C. S. Rao,"United Art Movies
",Satyam,Chandra Mohan,,"14 April 1983
",1983
Mayagadu,"B. L. V. Prasad
","Suman Creations
","Chakravarthy
","Mohan Babu, Purnima, Kavitha, Dr. M. Prabhakar
","
","30 July 1983
",1983
Monagadu Vastunnadu Jagratha,A. Kodandarami Reddy,,Satyam,Krishna Gattamaneni,,"
",1983
Moodu Mullu,"Jandyala
","
","Rajan - Nagendra
","Chandra Mohan, Raadhika, Geetha, Poornima, Dr. M. Prabhak-ar Reddy, Sutthi Janta
","
","
",1983
Moogavadi Paga,"Boyina Subba Rao
","Madhu Art Pictures
","Satyam
","Mohan Babu, Kavitha,
","
","2 December 1983
",1983
Muddula Mogudu,K. S. Prakash Rao,Mahija Films,S. Rajeswara Rao,Akkineni Nageswara Rao,"
","4 February 1983
",1983
Muggurammayila Mogudu,"Relangi Narasimha Rao
","Nagarjuna Pictures
","Chakravarthy
","Chandra Mohan, Aruna, Sadhana, Vijji, Kaikala Satyanarayana, Ramana Murthy, Rallapalli, Sutthi Verabhadra Rao, bhaskar, Ravikant, Jhansi, Ramanna Pantulu, etc
","Comedy
","26 May 1983
",1983
Mugguru Monagallu,Tatineni Rama Rao,"Lakshmi Productions
","Chakravarthy
",Sobhan Babu,"
","14 April 1983
",1983
Mundadugu,K. Bapaiah,Suresh Productions,Chakravarthy,Krishna Ghattamaneni,"Social
","25 February 1983
",1983
Navodayam,"P. Chandrashekar Reddy
","Chaitanya Art Pictures
","Chakravarthy
","Madhala Ranga Rao, Mucharla Aruna, Vijayashanthi, Kavitha, Rama Prabha, etc
","(A)
","7 January 1983
",1983
Nelavanka,Jandhyala,,,Gummadi Venkateswara Rao,,"14 January 1983
",1983
Neti Bharatam,T. Krishna,,Chakravarthy,Suman,,"
",1983
Nijam Chebithe Nerama,"M. Balaiah
","Amruta Films
",M. S. Viswanathan,Krihnam Raju,"
","14 January 1983
",1983
Oorantha Sankranthi,Dasari Narayana Rao,,,Akkineni Nageswara Rao,,"12 February 1983
",1983
Padmavathi Kalyanam,"Vijayalakshmi Talkies (R)
","
","
","
","CBFC not found
","11 July 1983
",1983
Palleturi Monagadu,"S. A. Chandrasekhar
","Rajyalakshmi Art Movies
","Chakravarthy
","Chiranjeevi, Raadhika, Gollapudi, R. Narayana Murthy, Sutthivelu
","(A)
","5 February 1983
",1983
Palleturi Pidugu,"Boina Subba Rao
","Vijaya Lakshmi Movies
","Satyam
","Mohan Babu, Kaikala Satyanarayana, Kanta Rao, Tyagaraju, Kannada Prabhakar, Giri Babu, Kavitha, Pandari Bai, Kalpana Rai,
","(A)
","7 May 1983
",1983
Pandanti Kapuraniki 12 Suthralu,"Raja Chandra
","Anantha Lakshmi International
",Satyam,Suman,,"19 August 1983
",1983
Patnam Vachhina Pasipapa,"J. Mahendran
","Sri Gowri Lavanya Pictures
","Ilaiyaraaja
","Sarath Babu, Suhasini, Sumalatha, Baby Anju
","
","5 November 1983
",1983
Pelli Chesi Choopistham,"N. A. Pendyala
","Sri Ramana Chitra
","Ramakrishna Raja
","Chandra Mohan, Vijaya Santhi, Chalam, Kaikala Satyanarayana, Allu Rama Lingaiah, Narayana Rao, Rajendra Prasad, Rama Prabha, Janaki,
","(U) Comedy, Family Drama
","22 July 1983
",1983
Pelli Choopulu,"R. Narayana Murthy
",,K. V. Mahadevan,Chandra Mohan,,"
",1983
Penki Ghatam,"N. C. Chakravarthi
","Nagamohini Enterprises
",Shyam,"Raadhika, Menaka, Mohan, Rajesh, Sachu, Venniradai, Y. G. Mahendra, Silk Smitha, etc
","(U) CBFC
","8 July 1983
",1983
Pichi Pantuulu,Maganti Venkateswara Rao,"Jayabheri Art Movies
","Chakravarthy
",Murali Mohan,"Comedy
","
",1983
Pidugu lanti Manishi,M. A. Thirumugham,"Janani Arts International
",M. S. Viswanathan,"Sivaji Ganesan, K. R. Vijaya, Geetha, Pushpalata
","(U) CBFC not found
","7 May 1983
",1983
Police Police,"Y. V. Gopikrishnan
","J. K. Films
","M. S. Viswanathan, B. Gopalam
","Naresh Kumar, Silk Smitha, Sulakshana, Manorama etc
","(A)
","7 October 1983
",1983
Police Venkataswamy,"Dasari Narayana Rao
","Tarakeswari Creations
","J. V. Raghavulu
","Jayamalini, Gummadi Venkateswara Rao, Dasari Naryana Rao, Allu Rama Lingaiah, Chalapathi Rao, Dr. M. Prabhakar Reddy, Mamatha, Ranisubha, Suresh, Nirmala, Balaji,
","(A)
","9 September 1983
",1983
Poratam,Kodi Ramakrishna,S. R. Films,"Chakravarthi
",Krishna,,"9 December 1983
",1983
Praja Rajyam,"M. Mallikarjuna Rao
","Ratna Movies
","J. V. Raghavulu
","Mada, Krishna, Jayaprada, Rao Gopala Rao, Dr. M. Prabhakara Reddy, Satya-narayana, Nutan Prasad
","
","29 September 1983
",1983
Praja Shakthi,"Navatharam Unit
","Navatharam Pictures
","Chakravarthy
","Madhala Ranga Rao, P. J. Sarma, Narra Venkateswara Rao, Chalapathi Rao, Surekha, Prathibha
","(A)
","18 March 1983
",1983
Pralaya Gharjana,"P. Chandrashekar Reddy
","Sri Vani Chandra Combines
","Raj - Koti
","Mohan Babu, Swapna, Kavitha, Geetha,  Vijaya Lalitha, Jeeva, Dr. M. Prabhakar Reddy, Sudhakar, Tyagaraju, Pandari Bai, Saradhi,
","(A)
","14 January 1983
",1983
Prema Jwala,"P. V. Raju
","Bhimeswara Art Movies
","Chakravarthy
","Vijetha, Kamalakar, Nutan Prasad, Rajababu, Hema Sundhar, Gowri, Jhansi, etc
","(A) CBFC
","3 October 1983
",1983
Prema Pichollu,A. Kodandarami Reddy,,Chakravarthy,Chiranjeevi,"(A)
","14 January 1983
",1983
Prema Sagaram,T. Rajendar,"Vijaya Adhitya Creations
",T. Rajendar,T. Rajendar,,"25 November 1983
",1983
Prema Vijayam,"Nanduri Suribabu
","Palnadu Art Movies
","S. S Prakash
","Srikrishna, Devisri, Sivaram Singh, Swapnapriya, D. Nageswara Rao, Kanaka Prasad, Subba Rao, D.N. Chowdary
","
","3 October 1983
",1983
Puli Bebbuli,K. S. R. Das,,Rajan-Nagendra,Chiranjeevi,,"
",1983
Puli Debba,K. S. R. Das,"PNR Pictures
","Satyam
","Silk Smitha, Naresh, Sarath Babu, Kanta Rao, Hem Chandar, Swapna Priya
","(A)
","
",1983
Raakasi Loya,"V. Vidyasagar Reddy
","Sri Amaleswari Films
","Satyam
","Rajesh, Naresh, Banuchander, Vijaya Santhi, ","(A)
","9 September 1983
",1983
Raghu Ramudu,"Kommineni
","Saikrishna Enterprises
","Chakravarthi
",Sobhan Babu,"
","10 February 1983
",1983
Rajakumar,"G. Ramineedu
","Srinath Movies
","Ilaiyaraaja
","Sobhan Babu, Jaya Sudha, Sridevi, Ambika, Rao Gopala Rao, Janaki,
","
","2 September 1983
",1983
Raju Rani Jocky,Singeetham Srinivasa Rao,"Navatha Arts
","Rajan-Nagendra
","Chandra Mohan, Raadhika
","(A)
","14 April 1983
",1983
Ramarajyamlo Bheemaraju,A. Kodandarami Reddy,"Sri Rajya Lakshmi Art Pictures
",Chakravarthi,Krishna Ghattamaneni,,"28 July 1983
",1983
Ramudu Kadu Krishnudu,Dasari Narayana Rao,,,ANR,,"25 March 1983
",1983
Rangula Kala,B. Narsing Rao,,B. Narsing Rao,"B. Narsing Rao, Sai Chand, Rupa, Gadhar",,"
",1983
Rangula Puli,"Kodi Rama Krishna
","Viswa Chitra Combines
","Chakravarthi
","Mohan Babu, Sumalatha,
","(A)
","17 June 1983
",1983
Rendu Jella Sita,Jandhyala,"Sri Bramarambika Films
",Ramesh Naidu,Naresh,,"31 March 1983
",1983
Roshagadu,K. S. R. Das,"P. N. R. Pictures
",Satyam,Chiranjeevi,,"29 July 1983
",1983
Rudrakali,"Dasari Narayan Rao
","Telugu Chitra Combines
",Satyam,"Chandra Mohan, Jaya Mala, Sarath Babu, Dr. M. Prabhakar Reddy, etc.
","
","19 November 1983
",1983
Sagara Sangamam,K. Vishwanath,"Poornodaya Movie Creations
",Ilaiyaraaja,Kamal Hassan,,"3 June 1983
",1983
Sangharshana,"K. Murali Mohana Rao
","Suresh Productions
","Chakravarthi
",Chiranjeevi,,"29 December 1983
",1983
Shakthi,"K. Raghavendra Rao
","Gopi Movies
","Chakravarthi
","Krishna, Jaya Sudha, Radha
","
","2 September 1983
",1983
Simham Navvindi,D. Yoganand,Ramakrishna Cine Studios,"Chakravarthi
",N. T. Rama Rao,"
","3 March 1983
",1983
Simhamtho Chelagatam,"
","
","
","
","
","
",1983
Simhapuri Simham,Kodi Ramakrishna,"Vijaya Sai Films
","J. V. Raghavulu
",Chiranjeevi,,"20 October 1983
",1983
Siripuram Monagadu,K. S. R. Das,,Raj-Koti,Krishna Ghattamaneni,,"
",1983
Sivudu Sivudu Sivudu,A. Kodandarami Reddy,"Kranthi Chitra
","Chakravathi
",Chiranjeevi,,"6 June 1983
",1983
Sri Ranga Neethulu,A. Kodandarami Reddy,,Satyam,Akkineni Nageswara Rao,,"
",1983
Subha Muhurtham,"
","
","
","
","
","
",1983
Swarajyam,"Biram Masthan Rao
","Navatharam Pictures
","Chakravarthi
","Chakravarthy(Composer), Madhala Ranga Rao
","(A)
","5 August 1983
",1983
Thodu Needa,"
","
","
","
","
","
",1983
Triveni Sangamam,"Kommineni Krishnamurthy
","Pratap Art Productions
","J. V. Raghavulu
","Suman, Vanitasri, Sitara, Gollapudi
","
","12 November 1983
",1983
Vetagadi Vijayam,"M. A. Thirumugam
","Mamata Chitra
","K. V. Mahadevan
","M. G. Rama Chandran, Savitri
","
","
",1983
Vimukthi Kosam,"Udaya Kumar
","Praja Chitra Productions
","B. Gopalam
","Saichand, Kakarala, Phani,  Padma, Chalapathirao, Garagara Mitai Chitti, Jayamala
","(A)
","23 December 1983
",1983
Aadadhi Visirina Savaal,"K. S. R. Das
","Raja Art Creations
","Chakravarthy
","Vijayalalitha, Murali Mohan, Vijayasanthi, Ramakrishna, Dr. M. Prabhakar Reddy
","(U) CBFC
","31 August 1983
",1984
Abhimanyudu,Dasari Narayana Rao,,K. V. Mahadevan,Shoban Babu,,"
",1984
Adarshavanthudu,"Kodi Ramakrishna
",,,Akkineni Nageswara Rao,,"
",1984
Agni Gundam,"Kranthi Kumar
",,Chakravarthy,Chiranjeevi,,"
",1984
Allullostunnaru,"K. Vasu
",,,Chandra Mohan,,"
",1984
Ananda Bhairavi,Jandhyala,"
",Ramesh Naidu,Girish Karnad,"
","19 April 1984
",1984
Anubandham,A. Kodandarami Reddy,,Chakravarthy,Akkineni Nageswara Rao,,"
",1984
Bava Maradallu,A. Kodandarami Reddy,,Chakravarthy,Shoban Babu,,"
",1984
Bhagyalakshmi,"Kommineni Seshagiri Rao
","Satyanarayana
","M. S. Viswanathan
","Murali Mohan, Saritha, Gollapudi (Dual Role), Kanta Rao, Nagesh, Krishnaveni, Anitha, Pushpakumari, Kakinada Syamala, Narayana Murthy
","
","16 June 1984
",1984
Bobbili Brahmanna,K. Raghavendra Rao,,,Krishnam Raju,,"
",1984
Challenge,A. Kodandarami Reddy,,Ilaiyaraaja,Chiranjeevi,,"
",1984
Devalayam,T. Krishna,,Chakravarthi,Shoban Babu,,"
",1984
Devanthakudu,S. A. Chandrasekhar,,Chakravarthi,Chiranjeevi,,"
",1984
Disco King,T. L. V. Prasad,,,Suman,,"
",1984
Dongalu Baboi Dongalu,K. S. R. Das,,,Krishna,,"
",1984
Goonda,A. Kodandarami Reddy,,Chakravarthi,Chiranjeevi,,"
",1984
Gruhalakshmi,"B. Bhaskara Rao
",,Satyam,Mohan Babu,,"
",1984
Hero,Vijaya Bapineedu,,Chakravarthi,Chiranjeevi,,"
",1984
Illalu Priyuralu,A. Kodandarami Reddy,,,Sobhan Babu,,"
",1984
Inti Guttu,"K. Bapaiah
",,Chakravarthi,Chiranjeevi,,"
",1984
Jagan,Dasari Narayana Rao,,,Sobhan Babu,,"
",1984
Janam Manam,"Mohan Das
","Navatharam Pictures
","Chakravarthi
","Madhala Ranga Rao, Gummadi, Prabha, Lakshmi Chitra,
","
","15 August 1984
",1984
Janani Janmabhoomi,K. Vishwanath,,K. V. Mahadevan,Nandamuri Balakrishna,,"
",1984
Justice Chakravarthy,Dasari Narayana Rao,,,ANR,,"
",1984
Kanchana Ganga,"V. Madhusudhan Rao
",,Chakravarthi,Chandra Mohan,,"
",1984
Kanchu Kagada,A. Kodandarami Reddy,"Ram Prasad Art Pictures
",Chakravarthi,Krishna,"Action, Romance
","28 September 1984
",1984
Kathanayakudu,"K. Muralimohana Rao
",,Chakravarthi,Nandamuri Balakrishna,,"
",1984
Koteeswarudu,Kommineni Seshagiri Rao,,,ANR,,"6 January 1984
",1984
Kotha Dampathulu,"
","
","
","
","
","24 August 1984
",1984
Kurra Cheshtalu,"
","
","
","
","
","26 July 1984
",1984
Kurukshetramlo Sita,"B. V. Prasad
","
","Ramesh Naidu
","Mohan Babu, Murali Mo-han, Gollapudi, Ambika, Jayasudha, Raja Suloch-ana
","(A)
","22 June 1984
",1984
Kutumba Gowaravam,"
","
","
","
","
","9 November 1984
",1984
Mahanagaramlo Mayagadu,Vijaya Bapineedu,,Chakravarthy,Chiranjeevi,,"
",1984
Manasa Veena,"Rama Arankanna
",,M. S. Viswanathan,Rajkumar,,"
",1984
